bin_floor,frequency
0.0,485
4.2666666666666666,6652
8.5333333333333332,30891
12.8,112153
17.066666666666666,162469
21.333333333333332,234812
25.6,271328
29.866666666666667,388812
34.133333333333333,312037
38.4,309300
42.666666666666664,293333
46.93333333333333,378311
51.2,280552
55.466666666666669,295137
59.733333333333334,287698
64.0,332471
68.266666666666666,227635
72.533333333333331,203682
76.8,217454
81.066666666666663,152919
85.333333333333329,98811
89.6,88609
93.86666666666666,88991
98.13333333333334,55442
102.4,36562
106.66666666666667,33014
110.93333333333334,30652
115.2,18158
119.46666666666667,12516
123.73333333333333,10686
128.0,8859
132.26666666666668,5423
136.53333333333333,3558
140.8,3439
145.06666666666666,1864
149.33333333333334,1386
153.6,1105
157.86666666666667,877
162.13333333333333,484
166.4,407
170.66666666666666,252
174.93333333333334,222
179.2,83
183.46666666666667,88
187.73333333333332,95
192.0,103
196.26666666666668,52
200.53333333333333,43
204.8,36
209.06666666666666,21
213.33333333333334,10
217.6,5
221.86666666666667,7
226.13333333333333,4
230.4,1
243.2,1
247.46666666666667,2
251.73333333333332,1
